,0,1,2,3,4,5
211,1120.94,1070.16,1072.48,212.11,0,
212,1120.93,1070.16,1072.44,212.5,0,
213,1120.92,1070.15,1072.45,214.06,0,
214,1120.95,1070.14,1072.47,212.11,0,
215,1120.88,1070.13,1072.45,214.45,0,
216,1120.93,1070.16,1072.46,211.72,0,
217,1120.97,1070.15,1072.48,213.67,0,
218,1120.99,1070.18,1072.48,212.89,0,
219,1120.94,1070.16,1072.43,212.11,0,
220,1120.91,1070.13,1072.47,213.67,0,
221,1120.91,1070.15,1072.48,211.72,0,
222,1120.88,1070.18,1072.48,210.94,0,
223,1120.9,1070.15,1072.44,211.33,0,
224,1121,1070.15,1072.43,212.89,0,
225,1120.9,1070.17,1072.45,212.5,0,
226,1120.97,1070.18,1072.49,212.89,0,
227,1120.94,1070.15,1072.45,214.06,0,
228,1120.95,1070.16,1072.45,214.06,0,
229,1120.92,1070.16,1072.44,213.28,0,
230,1120.93,1070.16,1072.44,212.11,0,
231,1120.9,1070.15,1072.47,211.33,0,
232,1120.94,1070.14,1072.44,212.89,0,
233,1120.94,1070.14,1072.46,214.45,0,
234,1120.89,1070.15,1072.46,213.67,0,
235,1120.97,1070.14,1072.45,212.5,0,
236,1120.9,1070.16,1072.42,214.45,0,
237,1120.94,1070.17,1072.47,214.06,0,
238,1120.93,1070.16,1072.45,212.11,0,
239,1120.94,1070.14,1072.46,211.72,0,
240,1120.95,1070.17,1072.48,212.89,0,
241,1120.95,1070.15,1072.46,212.11,0,
242,1120.95,1070.16,1072.48,212.11,0,
243,1120.94,1070.15,1072.49,211.33,0,
244,1120.87,1070.15,1072.49,211.33,0,
245,1120.91,1070.13,1072.47,212.89,0,
246,1120.95,1070.18,1072.46,211.72,0,
247,1120.91,1070.15,1072.42,214.06,0,
248,1120.89,1070.13,1072.48,212.89,0,
249,1120.97,1070.19,1072.46,212.5,0,
250,1120.87,1070.15,1072.44,213.67,0,
251,1120.94,1070.14,1072.48,211.33,0,
252,1120.88,1070.16,1072.47,211.72,0,
253,1120.91,1070.13,1072.45,212.11,0,
254,1120.94,1070.16,1072.46,214.06,0,
255,1120.89,1070.17,1072.45,212.5,0,
256,1120.9,1070.15,1072.46,213.28,0,
257,1120.9,1070.19,1072.43,212.5,0,
258,1120.94,1070.15,1072.45,211.72,0,
259,1120.91,1070.13,1072.47,212.89,0,
260,1120.93,1070.17,1072.47,212.5,0,
261,1120.97,1070.16,1072.45,212.11,0,
262,1120.91,1070.15,1072.46,211.72,0,
263,1120.91,1070.16,1072.47,212.5,0,
264,1121.01,1070.12,1072.46,212.11,0,
265,1120.97,1070.11,1072.44,212.11,0,
266,1120.88,1070.13,1072.44,211.33,0,
267,1120.86,1070.14,1072.42,213.28,0,
268,1120.93,1070.16,1072.48,213.28,0,
269,1120.91,1070.14,1072.45,213.67,0,
270,1120.9,1070.12,1072.49,213.67,0,
271,1120.95,1070.15,1072.47,212.5,0,
272,1120.95,1070.16,1072.48,213.28,0,
273,1120.96,1070.16,1072.48,214.06,0,
274,1120.9,1070.14,1072.47,212.89,0,
275,1120.94,1070.14,1072.43,212.89,0,
276,1120.94,1070.17,1072.46,213.67,0,
277,1120.88,1070.15,1072.49,212.89,0,
278,1120.95,1070.14,1072.47,214.06,0,
279,1120.86,1070.14,1072.47,212.11,0,
280,1120.92,1070.13,1072.48,211.72,0,
281,1120.87,1070.15,1072.47,211.33,0,
282,1120.9,1070.15,1072.46,211.33,0,
283,1120.91,1070.14,1072.46,212.89,0,
284,1120.92,1070.13,1072.47,212.89,0,
285,1120.92,1070.14,1072.45,212.5,0,
286,1120.94,1070.13,1072.5,214.06,0,
287,1120.92,1070.14,1072.42,211.33,0,
288,1120.9,1070.17,1072.48,211.72,0,
289,1120.91,1070.16,1072.47,213.67,0,
290,1120.94,1070.12,1072.47,212.5,0,
291,1120.94,1070.15,1072.45,214.06,0,
292,1120.89,1070.18,1072.44,213.67,0,
293,1120.98,1070.16,1072.44,212.11,0,
294,1120.88,1070.15,1072.48,212.89,0,
295,1120.93,1070.16,1072.46,212.11,0,
296,1120.98,1070.13,1072.47,213.28,0,
297,1120.9,1070.14,1072.45,211.72,0,
