,0,1,2,3,4,5
286,1116.83,1065.86,1068.45,212.5,0,
287,1116.81,1065.85,1068.44,211.72,0,
288,1116.77,1065.83,1068.45,213.28,0,
289,1116.76,1065.84,1068.45,212.89,0,
290,1116.77,1065.85,1068.45,210.94,0,
291,1116.75,1065.85,1068.44,213.28,0,
292,1116.79,1065.86,1068.44,212.11,0,
293,1116.76,1065.84,1068.43,211.33,0,
294,1116.74,1065.84,1068.43,212.5,0,
295,1116.74,1065.87,1068.44,210.94,0,
296,1116.84,1065.86,1068.42,212.11,0,
297,1116.81,1065.87,1068.46,211.33,0,
298,1116.85,1065.82,1068.45,212.89,0,
299,1116.82,1065.86,1068.43,212.5,0,
300,1116.73,1065.86,1068.43,212.11,0,
301,1116.78,1065.83,1068.41,212.11,0,
302,1116.85,1065.85,1068.43,210.94,0,
303,1116.78,1065.85,1068.43,212.11,0,
304,1116.81,1065.84,1068.43,209.77,0,
305,1116.73,1065.85,1068.43,210.94,0,
306,1116.79,1065.84,1068.44,212.11,0,
307,1116.82,1065.89,1068.46,212.11,0,
308,1116.77,1065.85,1068.41,212.5,0,
309,1116.75,1065.85,1068.45,212.11,0,
310,1116.88,1065.85,1068.43,212.11,0,
311,1116.8,1065.86,1068.44,214.06,0,
312,1116.81,1065.88,1068.44,211.33,0,
313,1116.83,1065.86,1068.44,211.72,0,
314,1116.8,1065.85,1068.44,211.33,0,
315,1116.82,1065.86,1068.42,213.28,0,
316,1116.85,1065.87,1068.43,213.67,0,
317,1116.88,1065.87,1068.43,212.5,0,
318,1116.85,1065.86,1068.43,212.11,0,
319,1116.79,1065.83,1068.47,212.5,0,
320,1116.79,1065.85,1068.43,212.89,0,
321,1116.79,1065.9,1068.44,210.94,0,
322,1116.82,1065.84,1068.44,211.72,0,
323,1116.79,1065.87,1068.42,211.72,0,
324,1116.78,1065.86,1068.43,210.55,0,
325,1116.81,1065.83,1068.44,213.28,0,
326,1116.88,1065.9,1068.46,211.72,0,
327,1116.8,1065.87,1068.44,211.33,0,
328,1116.82,1065.87,1068.41,211.72,0,
329,1116.82,1065.88,1068.46,210.55,0,
330,1116.8,1065.85,1068.42,211.33,0,
331,1116.84,1065.88,1068.42,213.67,0,
332,1116.82,1065.86,1068.42,212.89,0,
